# Known remaining shipped chrome. New hits must go through AfterRayCopy.
# Columns: path<TAB>collapsed-literal<TAB>reason
# Shrink this file; do not grow it except for a documented exception.

apps/AfterRay/Sources/AfterRayInstallLocation.swift	Move AfterRay to your Applications folder?	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRayInstallLocation.swift	 AfterRay is running from the disk image. It needs to live in Applications to record reliably and to install its own updates. 	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRayInstallLocation.swift	Move to Applications	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRayInstallLocation.swift	Not Now	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRayInstallLocation.swift	Keep Where It Is	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRayInstallLocation.swift	AfterRay could not move itself	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRayInstallLocation.swift	 \(error.localizedDescription) Drag AfterRay to your Applications folder manually, then open it from there. 	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRaySettings.swift	CLI agents can read original evidence for 30 minutes.	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRaySettings.swift	Installed afterray at \(destination.path).	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRaySettings.swift	Version \(staged) is downloaded and installs when you quit AfterRay.	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRaySettings.swift	Developer options unlocked.	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRaySettings.swift	Password managers and system credential apps are always excluded.	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRaySettings.swift	Choose an app AfterRay should never record.	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRaySettings.swift	Could not read that app's identifier.	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRaySettings.swift	AfterRay does not record its own window.	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRaySettings.swift	Deleted \(result.deleted) moment\(result.deleted == 1 ? 	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRaySettings.swift	Memory limit set to \(AfterRayStorageSnapshot.byteCount(bytes)).	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRaySettings.swift	New summaries will cover \(AppSettings.summaryLengthLabel(minutes)).	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRaySettings.swift	All model packs are ready.	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRaySettings.swift	Cancelled the \(name) download.	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRaySettings.swift	Model downloads use huggingface.co.	pre-existing chrome; ratchet
apps/AfterRay/Sources/AfterRaySettings.swift	Removed \(displayName(for: packID)).	pre-existing chrome; ratchet
